"id","community","color"
"84865437462",1,"#61DCA9"
"84865437260",1,"#61DCA9"
"84865429399",2,"#9B7424"
"84865416183",1,"#61DCA9"
"84865414399",3,"#8C0172"
"84865409690",2,"#9B7424"
"84865409195",2,"#9B7424"
"84865403458",1,"#61DCA9"
"84861788566",1,"#61DCA9"
"84861788011",1,"#61DCA9"
"84861787709",1,"#61DCA9"
"84861785965",1,"#61DCA9"
"84861778972",3,"#8C0172"
"84861777322",1,"#61DCA9"
"84861774803",2,"#9B7424"
"84859783183",1,"#61DCA9"
"84859777706",2,"#9B7424"
"84859761845",3,"#8C0172"
"84859754196",1,"#61DCA9"
"84859750525",1,"#61DCA9"
"84859740028",2,"#9B7424"
"84856753739",1,"#61DCA9"
"84856719617",2,"#9B7424"
"84856714706",2,"#9B7424"
"84856710163",1,"#61DCA9"
"84856704507",3,"#8C0172"
"84856698585",2,"#9B7424"
"81855226137",1,"#61DCA9"
"81855221785",1,"#61DCA9"
"81855213118",4,"#944046"
"81855206138",4,"#944046"
"81855193999",1,"#61DCA9"
"81855185300",1,"#61DCA9"
"81855174489",2,"#9B7424"
"81255171443",1,"#61DCA9"
"81255168246",1,"#61DCA9"
"81255168205",1,"#61DCA9"
"81255161002",1,"#61DCA9"
"81255159139",1,"#61DCA9"
"81255149537",1,"#61DCA9"
"81255137020",3,"#8C0172"
"79960330714",1,"#61DCA9"
"79960327944",1,"#61DCA9"
"79960322111",1,"#61DCA9"
"79960319406",2,"#9B7424"
"79960316981",1,"#61DCA9"
"79960307828",1,"#61DCA9"
"79960303682",1,"#61DCA9"
"79960292397",1,"#61DCA9"
"79960290978",1,"#61DCA9"
"79958017285",1,"#61DCA9"
"79958014721",1,"#61DCA9"
"79958002622",1,"#61DCA9"
"79957995535",2,"#9B7424"
"79957992696",1,"#61DCA9"
"79957992453",2,"#9B7424"
"79957985341",1,"#61DCA9"
"79957971956",1,"#61DCA9"
"79956336721",1,"#61DCA9"
"79956334584",1,"#61DCA9"
"79956328134",1,"#61DCA9"
"79956323401",1,"#61DCA9"
"79956312952",1,"#61DCA9"
"79956307807",1,"#61DCA9"
"79956301084",2,"#9B7424"
"79956293508",2,"#9B7424"
"79955864873",1,"#61DCA9"
"79955857996",4,"#944046"
"79955840134",4,"#944046"
"79955827664",1,"#61DCA9"
"79955820374",1,"#61DCA9"
"79955816427",4,"#944046"
"79955800384",2,"#9B7424"
"79955795564",1,"#61DCA9"
"79955793776",1,"#61DCA9"
"78650308853",2,"#9B7424"
"78650308851",1,"#61DCA9"
"78650307074",2,"#9B7424"
"78650306137",1,"#61DCA9"
"78650305377",1,"#61DCA9"
"78650303373",1,"#61DCA9"
"78650141744",1,"#61DCA9"
"78650032014",1,"#61DCA9"
"78650028233",3,"#8C0172"
"78650023945",1,"#61DCA9"
"78650000809",1,"#61DCA9"
"78650000535",3,"#8C0172"
"78649990805",2,"#9B7424"
"78649990352",1,"#61DCA9"
"77955996790",3,"#8C0172"
"77956012769",1,"#61DCA9"
"77953028935",4,"#944046"
"77953026045",1,"#61DCA9"
"77953025944",1,"#61DCA9"
"77953025627",1,"#61DCA9"
"77953024253",1,"#61DCA9"
"77953023709",1,"#61DCA9"
"77956010719",3,"#8C0172"
"77956011420",3,"#8C0172"
"77956010582",3,"#8C0172"
"77956013078",1,"#61DCA9"
"77956012822",3,"#8C0172"
"77956010970",3,"#8C0172"
"77956247749",3,"#8C0172"
"77956237688",3,"#8C0172"
"77955410887",3,"#8C0172"
"77956011365",3,"#8C0172"
"77956012027",3,"#8C0172"
"77956011404",3,"#8C0172"
"77956010178",3,"#8C0172"
"78650683729",3,"#8C0172"
"78650715182",1,"#61DCA9"
"78650714967",2,"#9B7424"
"78650698720",1,"#61DCA9"
"78650686618",2,"#9B7424"
"77955054848",2,"#9B7424"
"77953023087",1,"#61DCA9"
"75849147337",3,"#8C0172"
"75849138282",2,"#9B7424"
"75849132921",1,"#61DCA9"
"75849130385",1,"#61DCA9"
"75849128577",1,"#61DCA9"
"76349125585",1,"#61DCA9"
"76349120195",2,"#9B7424"
"76349110782",3,"#8C0172"
"76349109039",1,"#61DCA9"
"76349098463",1,"#61DCA9"
"76349086934",1,"#61DCA9"
"76349085645",1,"#61DCA9"
"66749139580",1,"#61DCA9"
"68949098207",2,"#9B7424"
"68949107773",3,"#8C0172"
"68949116314",1,"#61DCA9"
"58649121060",3,"#8C0172"
"58649107378",1,"#61DCA9"
"68949122974",3,"#8C0172"
"60449102606",1,"#61DCA9"
"60449104230",1,"#61DCA9"
"84920903570",1,"#61DCA9"
"68949192602",3,"#8C0172"
"68949104380",1,"#61DCA9"
"68949088470",1,"#61DCA9"
"67349271306",1,"#61DCA9"
"67349186651",1,"#61DCA9"
"67349143450",2,"#9B7424"
"67349104171",2,"#9B7424"
"60449108056",1,"#61DCA9"
"60449097145",1,"#61DCA9"
"60449094731",1,"#61DCA9"
"60449093894",1,"#61DCA9"
"60449088084",1,"#61DCA9"
"60449085884",1,"#61DCA9"
"58849136682",1,"#61DCA9"
"58649119062",1,"#61DCA9"
"58649111055",1,"#61DCA9"
"58649108111",1,"#61DCA9"
"58649105788",1,"#61DCA9"
"58649088227",1,"#61DCA9"
"59849114894",1,"#61DCA9"
"59849100282",1,"#61DCA9"
"49049121461",1,"#61DCA9"
"49049116991",1,"#61DCA9"
"49049112269",1,"#61DCA9"
"49049106596",1,"#61DCA9"
"49049100496",1,"#61DCA9"
"49049099258",1,"#61DCA9"
"49049096755",1,"#61DCA9"
"59849125287",1,"#61DCA9"
"59849117630",1,"#61DCA9"
"59849117106",1,"#61DCA9"
"59849118242",1,"#61DCA9"
"43849111670",3,"#8C0172"
"43849110745",1,"#61DCA9"
"43849109622",1,"#61DCA9"
"43849103929",1,"#61DCA9"
"43849098735",1,"#61DCA9"
"43849097536",1,"#61DCA9"
"49049086907",2,"#9B7424"
"38649135393",1,"#61DCA9"
"38649132885",2,"#9B7424"
"38649122068",1,"#61DCA9"
"38649119458",1,"#61DCA9"
"38649117950",1,"#61DCA9"
"38649106160",1,"#61DCA9"
"38649105772",1,"#61DCA9"
"38649099085",1,"#61DCA9"
"38649087376",1,"#61DCA9"
"49049115161",3,"#8C0172"
"36448998142",1,"#61DCA9"
"36448981771",3,"#8C0172"
"36448976904",1,"#61DCA9"
"36448975822",1,"#61DCA9"
"36448974885",1,"#61DCA9"
"36448974165",2,"#9B7424"
"36448973440",1,"#61DCA9"
"36448958718",1,"#61DCA9"
"36448929783",1,"#61DCA9"
"35449001705",2,"#9B7424"
"35448998384",2,"#9B7424"
"35448990425",3,"#8C0172"
"35448971777",2,"#9B7424"
"35448959900",3,"#8C0172"
"35448930202",3,"#8C0172"
"34547635055",1,"#61DCA9"
"34547577771",1,"#61DCA9"
"34547570536",1,"#61DCA9"
"34547568748",2,"#9B7424"
"34547568431",1,"#61DCA9"
"34547562957",1,"#61DCA9"
"72549112644",1,"#61DCA9"
"72549103103",1,"#61DCA9"
"72549093839",1,"#61DCA9"
"72549087165",1,"#61DCA9"
"66949114200",1,"#61DCA9"
"48349142956",4,"#944046"
"48349100741",1,"#61DCA9"
"44349128925",4,"#944046"
"33847752960",1,"#61DCA9"
"34047190388",3,"#8C0172"
"34047176981",3,"#8C0172"
"34047168011",3,"#8C0172"
"34047164121",1,"#61DCA9"
"34047160520",1,"#61DCA9"
"34047155639",2,"#9B7424"
"34047109213",3,"#8C0172"
"34047093396",1,"#61DCA9"
"33947422116",1,"#61DCA9"
"33947377939",1,"#61DCA9"
"33947366468",1,"#61DCA9"
"33947366004",1,"#61DCA9"
"33947364833",1,"#61DCA9"
"33947360776",3,"#8C0172"
"33847240884",1,"#61DCA9"
"33847224124",1,"#61DCA9"
"33847211035",1,"#61DCA9"
"33847206747",1,"#61DCA9"
"33847202902",1,"#61DCA9"
"33847197123",1,"#61DCA9"
"33847191369",1,"#61DCA9"
"33847187366",1,"#61DCA9"
"34547824152",1,"#61DCA9"
"34547812009",1,"#61DCA9"
"34547757890",1,"#61DCA9"
